Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
104,Darren Collison\collida01,PG,29,Sacramento Kings,67,2035,15.2,.568,.244,.237,1.3,7.1,4.2,24.3,1.6,0.4,12.3,19.8,,3.1,0.7,3.8,.090,,0.8,-2.4,-1.6,0.2
105,Nick Collison\collini01,PF,36,Oklahoma City Thunder,16,96,13.3,.696,.000,.615,7.0,16.2,11.6,14.4,1.0,1.7,15.4,8.6,,0.2,0.1,0.3,.162,,-1.3,0.3,-1.0,0.0
106,Mike Conley\conlemi01,PG,29,Memphis Grizzlies,65,2185,22.9,.598,.414,.373,1.6,10.9,6.1,34.4,2.1,0.8,11.6,26.2,,7.0,2.4,9.4,.206,,6.3,-0.6,5.7,4.2
107,Pat Connaughton\connapa01,SG,24,Portland Trailblazers,35,234,10.0,.608,.404,.191,4.3,13.3,8.8,10.1,1.1,0.7,19.1,11.8,,0.2,0.1,0.3,.067,,-2.0,-1.2,-3.2,-0.1
108,Quinn Cook\cookqu01,PG,23,TOT,10,90,9.9,.567,.600,.067,0.0,5.3,2.5,25.9,1.1,0.0,20.6,20.3,,0.0,0.0,0.0,.014,,-2.1,-4.2,-6.2,-0.1
109,Quinn Cook\cookqu01,PG,23,Dallas Mavericks,5,77,6.9,.522,.560,.080,0.0,4.8,2.3,25.7,0.7,0.0,23.6,20.8,,-0.1,0.0,-0.1,-0.044,,-4.1,-4.5,-8.7,-0.1
110,Quinn Cook\cookqu01,PG,23,New Orleans Pelicans,5,13,27.5,.800,.800,.000,0.0,8.1,4.0,27.0,3.8,0.0,0.0,17.1,,0.1,0.0,0.1,.354,,10.1,-2.1,8.0,0.0
111,DeMarcus Cousins\couside01,C,26,TOT,71,2429,25.7,.562,.252,.470,6.9,29.4,18.2,25.7,2.0,3.4,13.6,36.6,,3.7,3.8,7.4,.147,,3.8,2.7,6.5,5.2
112,DeMarcus Cousins\couside01,C,26,Sacramento Kings,55,1891,26.6,.562,.239,.491,7.1,28.6,17.9,27.6,2.0,3.5,13.2,37.6,,3.4,2.6,6.0,.152,,4.6,2.6,7.1,4.3
113,DeMarcus Cousins\couside01,C,26,New Orleans Pelicans,16,538,22.8,.564,.299,.388,6.4,32.5,19.5,19.1,2.2,3.1,15.0,33.0,,0.3,1.1,1.4,.129,,1.2,3.0,4.3,0.8
114,Robert Covington\covinro01,SF,26,Philadelphia 76ers,67,2119,13.2,.534,.563,.238,4.8,17.8,11.3,7.5,2.9,2.6,13.9,19.2,,0.0,3.2,3.2,.073,,-0.7,2.1,1.5,1.9
115,Allen Crabbe\crabbal01,SG,24,Portland Trailblazers,76,2166,11.2,.597,.465,.194,1.0,10.1,5.5,5.9,1.1,0.7,8.2,14.8,,2.8,0.9,3.7,.082,,0.1,-1.5,-1.4,0.3
